Line,Raw_Hex,Event_Mode,Row_Addr,Data_Payload_Hex
117,7affffffe1ffc01ffe7e0003ffffffffff,1,58,ffffffe1ffc01ffe7e0003ffffffffff
118,bb00000000003fc01bf9fffc0000000000,2,59,00000000003fc01bf9fffc0000000000
119,7bffffffffffc03fe4060003ffffffffff,1,59,ffffffffffc03fe4060003ffffffffff
120,bc000000000037c03ffdfffc0000000000,2,60,000000000037c03ffdfffc0000000000
121,7cffffffffffc83fc0020003ffffffffff,1,60,ffffffffffc83fc0020003ffffffffff
122,00000000003fc1ff00fffc000000000000,0,0,000000003fc1ff00fffc000000000000
123,ffffffffffc03e00bd0003ffffffffffbd,3,63,ffffffffc03e00bd0003ffffffffffbd
124,00000000001fc0037dfffc00000000007d,0,0,000000001fc0037dfffc00000000007d
125,ffffffffffe03f80be0003ffffffffffbe,3,63,ffffffffe03f80be0003ffffffffffbe
126,7fffffffffff0f007effffffffff0f007e,1,63,ffffffffff0f007effffffffff0f007e
127,80000000000000bfff000000000000bfff,2,0,000000000000bfff000000000000bfff
